epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.5308,3.39928,5.55473,2.12316,0,0,0,0,6.55044,5.58802,5.75568,1.764e-05,1.764e-05,1.764e-05
2,76.3856,3.05308,5.47167,1.91006,0,0,0,0,6.34343,5.56633,5.71338,3.60223e-05,3.60223e-05,3.60223e-05
3,119.085,2.79213,5.37357,1.72888,0,0,0,0,6.10578,5.6995,5.52465,5.36479e-05,5.36479e-05,5.36479e-05
4,158.584,2.5797,5.23575,1.57002,0,0,0,0,4.82347,5.67464,3.75418,7.05168e-05,7.05168e-05,7.05168e-05
5,203.648,2.47432,5.09991,1.4946,0.03254,0.00075,0.00058,0.0001,3.81887,5.39685,2.64561,8.66289e-05,8.66289e-05,8.66289e-05
6,245.031,2.40297,4.95373,1.46121,0.02332,0.00939,0.00685,0.00193,3.08777,5.08481,2.03397,0.000101984,0.000101984,0.000101984
7,288.028,2.34409,4.79395,1.39441,0.0215,0.02005,0.01052,0.00325,2.73735,4.88643,1.7132,0.000116583,0.000116583,0.000116583
8,324.801,2.23272,4.6618,1.36405,0.02672,0.05353,0.02234,0.00668,2.39247,4.64989,1.47536,0.000126626,0.000126626,0.000126626
9,379.09,2.23211,4.47948,1.33934,0.02442,0.0938,0.03436,0.0115,2.19485,4.33872,1.36333,0.000123715,0.000123715,0.000123715
10,410.762,2.15659,4.32212,1.31063,0.02574,0.10799,0.04549,0.01431,2.18577,4.18306,1.33041,0.000120805,0.000120805,0.000120805
11,451.205,2.0734,4.15662,1.29253,0.02273,0.11342,0.04448,0.01529,2.02353,3.97929,1.26756,0.000117894,0.000117894,0.000117894
12,487.582,2.05765,3.93603,1.26656,0.02722,0.14458,0.07153,0.02937,1.88575,3.623,1.22863,0.000114983,0.000114983,0.000114983
13,518.743,2.04595,3.7498,1.25487,0.71707,0.06058,0.07659,0.03366,1.89597,3.37383,1.23231,0.000112073,0.000112073,0.000112073
14,557.67,1.95082,3.55924,1.23693,0.8193,0.06302,0.08749,0.04131,1.78605,3.08823,1.16337,0.000109162,0.000109162,0.000109162
15,599.516,1.92615,3.44446,1.22155,0.76102,0.06712,0.08849,0.04268,1.69516,2.9229,1.14549,0.000106252,0.000106252,0.000106252
16,647.422,1.88837,3.30605,1.20654,0.79512,0.07138,0.08147,0.04164,1.65511,2.8304,1.13342,0.000103341,0.000103341,0.000103341
17,692.852,1.8697,3.15837,1.19952,0.83065,0.07402,0.07895,0.04391,1.57095,2.72297,1.12845,0.00010043,0.00010043,0.00010043
18,730.486,1.79523,3.02568,1.18041,0.86845,0.07433,0.07617,0.04174,1.5931,2.75739,1.15139,9.75198e-05,9.75198e-05,9.75198e-05
19,773.381,1.73383,2.94688,1.16736,0.86844,0.08182,0.0742,0.0429,1.52492,2.63937,1.13908,9.46092e-05,9.46092e-05,9.46092e-05
20,812.142,1.72444,2.82413,1.15324,0.87576,0.09828,0.07933,0.04678,1.51204,2.44899,1.10863,9.16986e-05,9.16986e-05,9.16986e-05
21,850.965,1.68259,2.78521,1.12214,0.83196,0.08312,0.0845,0.05578,1.34995,2.37287,1.05256,8.8788e-05,8.8788e-05,8.8788e-05
22,892.332,1.67808,2.71257,1.118,0.79936,0.09625,0.09351,0.06002,1.35534,2.31441,1.0478,8.58774e-05,8.58774e-05,8.58774e-05
23,942.72,1.67838,2.64888,1.10735,0.80145,0.09659,0.10383,0.06789,1.3004,2.22377,1.02216,8.29668e-05,8.29668e-05,8.29668e-05
24,987.937,1.6056,2.55411,1.09841,0.80179,0.09605,0.12124,0.0797,1.33421,2.20478,1.03356,8.00562e-05,8.00562e-05,8.00562e-05
25,1035.68,1.54534,2.49628,1.10673,0.88085,0.09668,0.1432,0.0916,1.33082,2.16849,1.01889,7.71456e-05,7.71456e-05,7.71456e-05
26,1071.82,1.58058,2.55122,1.0846,0.84126,0.09677,0.15511,0.10062,1.28826,2.1139,1.02035,7.4235e-05,7.4235e-05,7.4235e-05
27,1106.78,1.56136,2.43462,1.08262,0.83724,0.0936,0.16019,0.10728,1.24658,2.03262,0.98789,7.13244e-05,7.13244e-05,7.13244e-05
28,1145.03,1.48587,2.37495,1.059,0.04785,0.40902,0.17352,0.11291,1.24823,1.92737,0.97988,6.84138e-05,6.84138e-05,6.84138e-05
29,1182.08,1.4453,2.29986,1.05219,0.84686,0.1202,0.17767,0.11568,1.25552,1.88741,1.00081,6.55032e-05,6.55032e-05,6.55032e-05
30,1213.17,1.44638,2.23489,1.05595,0.84133,0.12447,0.20159,0.13173,1.14596,1.73696,0.94695,6.25926e-05,6.25926e-05,6.25926e-05
31,1245.47,1.42758,2.22389,1.03352,0.84206,0.12783,0.21166,0.14001,1.16177,1.66354,0.94591,5.9682e-05,5.9682e-05,5.9682e-05
32,1275.91,1.46973,2.2064,1.03774,0.80545,0.13273,0.23061,0.1454,1.24203,1.64101,0.96688,5.67714e-05,5.67714e-05,5.67714e-05
33,1306.3,1.41863,2.14791,1.03689,0.82403,0.15218,0.23776,0.15165,1.15912,1.62228,0.94158,5.38608e-05,5.38608e-05,5.38608e-05
34,1346.71,1.4329,2.05224,1.02925,0.86479,0.16333,0.24142,0.15625,1.14516,1.59618,0.93939,5.09502e-05,5.09502e-05,5.09502e-05
35,1386.78,1.40888,2.05223,1.03872,0.8646,0.17871,0.24603,0.163,1.09744,1.55378,0.93207,4.80396e-05,4.80396e-05,4.80396e-05
36,1416.49,1.36358,1.98907,1.02346,0.82145,0.20572,0.25934,0.16965,1.11298,1.49871,0.93926,4.5129e-05,4.5129e-05,4.5129e-05
37,1458.4,1.40902,1.97482,1.02588,0.80391,0.20902,0.25989,0.17092,1.07119,1.47629,0.9274,4.22184e-05,4.22184e-05,4.22184e-05
38,1495.72,1.38296,1.92774,1.02329,0.78403,0.22817,0.27312,0.18357,1.04617,1.42122,0.91449,3.93078e-05,3.93078e-05,3.93078e-05
39,1535.56,1.31407,1.87879,1.0039,0.83562,0.21049,0.28915,0.19247,1.07494,1.40015,0.91954,3.63972e-05,3.63972e-05,3.63972e-05
40,1560.62,1.33139,1.89962,1.0027,0.83213,0.20441,0.29645,0.20104,1.06046,1.37839,0.91226,3.34866e-05,3.34866e-05,3.34866e-05
41,1630.93,1.43027,1.86787,1.09777,0.87019,0.22862,0.30009,0.20282,1.08068,1.29854,0.90183,3.0576e-05,3.0576e-05,3.0576e-05
42,1670.47,1.35367,1.77283,1.06275,0.86925,0.22539,0.30085,0.19553,1.16592,1.28891,0.91017,2.76654e-05,2.76654e-05,2.76654e-05
43,1697.71,1.29547,1.70091,1.03719,0.8704,0.21871,0.30345,0.19608,1.13876,1.26772,0.91078,2.47548e-05,2.47548e-05,2.47548e-05
44,1730.15,1.29336,1.69843,1.026,0.87578,0.21133,0.3108,0.20788,1.09429,1.24528,0.90668,2.18442e-05,2.18442e-05,2.18442e-05
45,1769.61,1.24626,1.68814,1.0224,0.87489,0.21799,0.31091,0.21,1.06166,1.23056,0.90085,1.89336e-05,1.89336e-05,1.89336e-05
46,1809.07,1.2394,1.64383,1.01275,0.87912,0.21893,0.31075,0.2131,1.0544,1.22263,0.90082,1.6023e-05,1.6023e-05,1.6023e-05
47,1841.77,1.24125,1.64961,1.00894,0.88059,0.21863,0.30895,0.21356,1.07428,1.22217,0.90129,1.31124e-05,1.31124e-05,1.31124e-05
48,1876.21,1.22186,1.6172,1.00159,0.88109,0.21729,0.30843,0.21347,1.04523,1.20614,0.89398,1.02018e-05,1.02018e-05,1.02018e-05
49,1915.95,1.21809,1.61827,1.01075,0.88039,0.21767,0.30878,0.21325,1.04159,1.20481,0.89092,7.2912e-06,7.2912e-06,7.2912e-06
50,1951.8,1.17076,1.556,0.98189,0.87783,0.22013,0.30957,0.21405,1.03628,1.20122,0.88933,4.3806e-06,4.3806e-06,4.3806e-06
